file_name,file_path,trait,study_accession,role,build,variant_identifier,chromosome,position,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,sample_size,full_summary_stats_candidate,status,notes,odds_ratio,effect_size_column,effect_size_type
GCST90100621_buildGRCh37.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/ADIPOQ/GCST90100621_buildGRCh37.tsv.gz,ADIPOQ,GCST90100621_buildGRCh37,exposure,GRCh37,,chromosome,base_pair_location,effect_allele,other_allele,beta,,effect_allele_frequency,p_value,,No,Not suitable for current pipeline,Missing core fields: standard_error,,beta,beta
GCST90161837_buildGRCh37.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/ADIPOQ/GCST90161837_buildGRCh37.tsv.gz,ADIPOQ,GCST90161837_buildGRCh37,exposure,GRCh37,variant_id,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,,Yes,Suitable candidate,Core MR fields found; variant identifier present.,,beta,beta
GCST90237429_buildGRCh38.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/ADIPOQ/GCST90237429_buildGRCh38.tsv.gz,ADIPOQ,GCST90237429_buildGRCh38,exposure,GRCh38,variant_id,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,,Yes,Suitable candidate,Core MR fields found; variant identifier present.,,beta,beta
GCST90162057_buildGRCh37.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/GDF15/GCST90162057_buildGRCh37.tsv.gz,GDF15,GCST90162057_buildGRCh37,exposure,GRCh37,variant_id,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,,Yes,Suitable candidate,Core MR fields found; variant identifier present.,,beta,beta
GCST90179306_buildGRCh38.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/GDF15/GCST90179306_buildGRCh38.tsv.gz,GDF15,GCST90179306_buildGRCh38,exposure,GRCh38,,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,,Yes,Needs adaptation,"Core MR fields found, but no obvious rsID/SNP-like identifier column.",,beta,beta
GCST90014008_buildGRCh38.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/IGF1/GCST90014008_buildGRCh38.tsv.gz,IGF1,GCST90014008_buildGRCh38,exposure,GRCh38,,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,,p_value,,No,Not suitable for current pipeline,Missing core fields: effect_allele_frequency,,beta,beta
GCST90019511_buildGRCh37.tsv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/IGF1/GCST90019511_buildGRCh37.tsv,IGF1,GCST90019511_buildGRCh37,exposure,GRCh37,variant_id,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,,p_value,,No,Not suitable for current pipeline,Missing core fields: effect_allele_frequency,,beta,beta
GCST90025989_buildGRCh37.tsv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/IGF1/GCST90025989_buildGRCh37.tsv,IGF1,GCST90025989_buildGRCh37,exposure,GRCh37,,chromosome,base_pair_location,,,beta,standard_error,,p_value,,No,Not suitable for current pipeline,"Missing core fields: effect_allele, other_allele, effect_allele_frequency",,beta,beta
GCST90079032_buildGRCh38.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/IGF1/GCST90079032_buildGRCh38.tsv.gz,IGF1,GCST90079032_buildGRCh38,exposure,GRCh38,,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,,Yes,Needs adaptation,"Core MR fields found, but no obvious rsID/SNP-like identifier column.",,beta,beta
GCST90083018_buildGRCh38.tsv.gz,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/exposures/IGF1/GCST90083018_buildGRCh38.tsv.gz,IGF1,GCST90083018_buildGRCh38,exposure,GRCh38,,chromosome,base_pair_location,effect_allele,other_allele,beta,standard_error,effect_allele_frequency,p_value,,Yes,Needs adaptation,"Core MR fields found, but no obvious rsID/SNP-like identifier column.",,beta,beta
